datetime,sizeMB,customer,server,_measurement
2024-10-10 12:39:38,1087.25,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:40:38,937.41,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:41:38,1047.18,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:42:38,787.38,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:43:38,692.75,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:44:38,724.45,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:45:39,717.66,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:46:39,697.23,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:47:39,789.7,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:48:39,639.27,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:49:39,1067.46,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:50:39,648.06,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:51:39,601.62,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:52:39,625.84,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:53:39,619.23,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:54:39,669.07,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:55:40,671.13,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:56:40,647.96,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:57:40,673.55,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:58:40,681.47,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 12:59:40,688.62,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:00:40,697.47,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:01:40,693.43,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:02:40,694.63,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:03:40,720.21,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:04:40,694.44,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:05:40,678.81,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:06:40,720.4,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:07:40,699.82,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:08:40,712.57,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:09:40,721.44,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:10:40,702.15,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:11:40,710.88,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:12:41,676.42,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:13:41,676.88,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:14:41,694.98,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:15:41,713.77,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:16:41,700.83,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:17:41,694.27,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:18:41,738.42,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:19:41,711.16,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:20:41,706.24,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:21:41,718.54,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:22:41,702.17,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:23:41,711.28,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:24:41,706.44,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:25:41,714.18,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:26:41,728.63,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:27:41,686.51,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:28:41,695.2,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:29:42,707.29,WilliamHill,gibux341.prod.williamhill.plc,vpcache
2024-10-10 13:30:42,698.69,WilliamHill,gibux341.prod.williamhill.plc,vpcache
